code,ISIN
1301,JP3257200000
1305,JP3027620008
1306,JP3027630007
1308,JP3039100007
1309,JP3046510008
130A,JP3155340007
1311,JP3040140000
1319,JP3013190008
131A,JP3346940004
1320,JP3027640006
1321,JP3027650005
1322,JP3046760009
1324,JP3046790006
1325,JP3046800003
1328,JP3046490003
1329,JP3027710007
132A,JP3100670003
1330,JP3027660004
1332,JP3718800000
1333,JP3876600002
133A,JP3050310006
1343,JP3047010008
1345,JP3047030006
1346,JP3047040005
1348,JP3047060003
1349,SG9999002026
134A,JP3122660008
1356,JP3047770007
1357,JP3047780006
1358,JP3047790005
135A,JP3159870009
1360,JP3047810001
1364,JP3047840008
1365,JP3047850007
1366,JP3047860006
1367,JP3047870005
1368,JP3047880004
1369,JP3047890003
1375,JP3947010009
1376,JP3216200000
1377,JP3315000004
1379,JP3843250006
137A,JP3297390001
1380,JP3107400008
1381,JP3108030002
1382,JP3837630007
1383,JP3835730007
1384,JP3845670003
138A,JP3783410008
1397,JP3047920008
1398,JP3047930007
1399,JP3048170009
139A,JP3783510005
1401,JP3167660004
1407,JP3154750008
140A,JP3050320005
1414,JP3360250009
1417,JP3910620008
1418,JP3152860007
1419,JP3470900006
141A,JP3635490000
1420,JP3337550002
1429,JP3686140009
142A,JP3394950004
1430,JP3802210009
1431,JP3162680007
1432,JP3397900006
1433,JP3835550009
1434,JP3386570000
1435,JP3153950005
1436,JP3802980007
1438,JP3264850003
143A,JP3136970005
1443,JP3264300009
1444,JP3679840003
1445,JP3783430006
1446,JP3244530006
1447,JP3104860006
1449,JP3814700005
144A,JP3165880000
1450,JP3468860006
1452,JP3956650000
1456,JP3047940006
1457,JP3047950005
1458,JP3047970003
1459,JP3047980002
145A,JP3167730005
1466,JP3048020006
1469,JP3048050003
146A,JP3305940003
1472,JP3048080000
1473,JP3048090009
1474,JP3048100006
1475,JP3048120004
1476,JP3048130003
1477,JP3048140002
1478,JP3048150001
1479,JP3048220002
147A,JP3436240000
1480,JP3048230001
1481,JP3048240000
1482,JP3048250009
1483,JP3048260008
1484,JP3048270007
1485,JP3048280006
1486,JP3048330009
1487,JP3048340008
1488,JP3048350007
1489,JP3048390003
148A,JP3769350004
1490,JP3048400000
1491,JP3519000008
1493,JP3048430007
1494,JP3048440006
1495,JP3048450005
1496,JP3048460004
1497,JP3048470003
1498,JP3048600005
1499,JP3048670008
149A,JP3371670005
150A,JP3386920007
1514,JP3400750000
1515,JP3680800004
1518,JP3894000003
151A,JP3497600001
152A,JP3197780004
153A,JP3205750007
1540,JP3047190008
1541,JP3047200005
1542,JP3047210004
1543,JP3047220003
1545,JP3047240001
1546,JP3047250000
1547,JP3047260009
154A,JP3233720006
1550,JP3047290006
1551,JP3047300003
1553,JP3047320001
1554,JP3047330000
1555,JP3047340009
1557,US78462F1030
1559,JP3047360007
155A,JP3393700004
1560,JP3047370006
1563,JP3047400001
1566,JP3047420009
1568,JP3047440007
1569,JP3047450006
156A,JP3869850002
1570,JP3047460005
1571,JP3047470004
1572,JP3047520006
1573,JP3047530005
1577,JP3047560002
1578,JP3047570001
1579,JP3047580000
157A,JP3274170004
1580,JP3047590009
1585,JP3047620004
1586,JP3047630003
158A,JP3161370006
1591,JP3047670009
1592,JP3047680008
1593,JP3047690007
1595,JP3047700004
1596,JP3047710003
1597,JP3047720002
1599,JP3047740000
159A,JP3050330004
1605,JP3294460005
160A,JP3119840001
1615,JP3040170007
1617,JP3046560003
1618,JP3046570002
1619,JP3046580001
161A,JP3895210007
1620,JP3046590000
1621,JP3046600007
1622,JP3046610006
1623,JP3046620005
1624,JP3046630004
1625,JP3046640003
1626,JP3046650002
1627,JP3046660001
1628,JP3046670000
1629,JP3046680009
162A,JP5392050000
1630,JP3046690008
1631,JP3046700005
1632,JP3046710004
1633,JP3046720003
163A,JP5392060009
164A,JP3121250009
1651,JP3048490001
1652,JP3048500007
1653,JP3048510006
1654,JP3048520005
1655,JP3048530004
1656,JP3048540003
1657,JP3048550002
1658,JP3048560001
1659,JP3048570000
1660,JP3048580009
1662,JP3421100003
1663,JP3277020008
166A,JP3464310006
1671,JP3047080001
1672,JE00B1VS3770
1673,JE00B1VS3333
1674,JE00B1VS2W53
1675,JE00B1VS3002
1676,JE00B1VS3W29
1677,JP3047090000
1678,JP3047100007
1679,JP3047110006
167A,JP3975410006
1680,JP3047120005
1681,JP3047130004
1684,GB00B15KY989
1685,GB00B15KYB02
1686,GB00B15KYG56
1687,GB00B15KYH63
1688,GB00B15KYL00
1689,JE00BN7KB334
168A,JP3140900006
1690,GB00B15KXV33
1691,GB00B15KXW40
1692,GB00B15KXN58
1693,GB00B15KXQ89
1695,JE00BN7KB664
1696,JE00BN7KB441
1697,GB00B15KY542
1698,JP3047170000
1699,JP3047180009
170A,JP3050340003
1711,JP3363000005
1716,JP3473700007
1717,JP3920400003
1718,JP3882700002
1719,JP3767810009
171A,JP3428880003
1720,JP3567410000
1721,JP3305530002
1723,JP3734350006
1724,JP3372200000
1726,JP3799610005
172A,JP3758290005
1736,JP3172410007
1738,JP3681170001
173A,JP3777550009
1758,JP3450200005
175A,JP3154210003
1762,JP3457900003
1764,JP3266150006
1766,JP3590900001
1768,JP3435700004
1770,JP3816750008
1771,JP3695100002
1777,JP3224800007
177A,JP3283630006
1780,JP3934300009
1783,JP3653550008
1786,JP3197950003
1787,JP3644600003
1788,JP3336500008
178A,JP3050350002
1793,JP3190500003
1795,JP3863100008
1798,JP3927400006
1799,JP3474610007
179A,JP3050360001
