symbol,FullName,Exchange,ISIN,Currency,Country
2020.OL,2020 BULKERS,Oslo Børs,BMG9156K1018,NOK,Norway
5PG.OL,5TH PLANET GAMES,Euronext Expand Oslo,DK0060945467,NOK,Norway
74SW.PA,74SOFTWARE,Euronext Paris,FR0011040500,EUR,France
8GW.IR,GREAT WESTERN MIN.,Euronext Growth Dublin,IE000T78CHJ8,EUR,Ireland
A2A.MI,A2A,Euronext Milan,IT0001233417,EUR,Italy
A5G.IR,AIB GROUP PLC,Euronext Dublin,IE00BF0L3536,EUR,Ireland
AAA.PA,ALAN ALLMAN,Euronext Paris,FR0000062465,EUR,France
AALB.AS,AALBERTS NV,Euronext Amsterdam,NL0000852564,EUR,Netherlands
AASB.OL,AASEN SPAREBANK,Euronext Growth Oslo,NO0010672181,NOK,Norway
AAT.MI,AATECH,Euronext Growth Milan,IT0005548521,EUR,Italy
AB.PA,AB SCIENCE,Euronext Paris,FR0010557264,EUR,France
ABBS.PA,AB SCIENCE BSA,Euronext Paris,FR001400ZRT0,EUR,France
ABBSA.PA,AB SCIENCE BSAAU25,Euronext Growth Paris,FR0014011S49,EUR,France
ABC.MI,ABC COMPANY,Euronext Growth Milan,IT0005466294,EUR,Italy
ABCA.PA,ABC ARBITRAGE,Euronext Paris,FR0004040608,EUR,France
ABEO.PA,ABEO,Euronext Paris,FR0013185857,EUR,France
ABG.OL,ABG SUNDAL COLLIER,Oslo Børs,NO0003021909,NOK,Norway
ABI.BR,AB INBEV,Euronext Brussels,BE0974293251,EUR,Belgium
ABLD.PA,ABL Diagnostics,Euronext Paris,FR001400AHX6,EUR,France
ABN.AS,ABN AMRO BANK N.V.,Euronext Amsterdam,NL0011540547,EUR,Netherlands
ABNX.PA,ABIONYX PHARMA,Euronext Paris,FR0012616852,EUR,France
ABO.PA,ABO GROUP,"Euronext Brussels, Paris",BE0974278104,EUR,France
ABP.MI,A.B.P. NOCIVELLI,Euronext Growth Milan,IT0005439861,EUR,Italy
ABS.OL,ARCTIC BIOSCIENCE,Euronext Growth Oslo,NO0010859580,NOK,Norway
