symbol,FullName,Exchange,ISIN,Currency,Country
000.F,BITZERO HOLDINGS  O.N.,Frankfurt (FWB),CA09175N1096,EUR,Germany
008.F,SVEAFASTIGHETER AB,Frankfurt (FWB),SE0022243812,EUR,Germany
00D0.F,"SOUTH MANGAN.INV.  HD-,05",Frankfurt (FWB),BMG8291R1043,EUR,Germany
00W.F,ASPERMONT LTD,Frankfurt (FWB),AU000000ASP3,EUR,Germany
0130.F,JD.COM INC.   SDR,Frankfurt (FWB),SGXE58855789,EUR,Germany
013A.F,JD.COM SP.ADR A1 DL-00002,Frankfurt (FWB),US47215P1066,EUR,Germany
013C.F,JD.COM. INC. A,Frankfurt (FWB),KYG8208B1014,EUR,Germany
014.F,RAND MINING LTD.,Frankfurt (FWB),AU000000RND4,EUR,Germany
01H.F,HORIBA LTD,Frankfurt (FWB),JP3853000002,EUR,Germany
01K.F,"KELLER GRP PLC     LS-,10",Frankfurt (FWB),GB0004866223,EUR,Germany
01P.F,"MEDPACE HOLDINGS   DL-,01",Frankfurt (FWB),US58506Q1094,EUR,Germany
01R.F,"DATAWALK B-H      ZY -,10",Frankfurt (FWB),PLPILAB00012,EUR,Germany
01T.F,TOKYU CORP.,Frankfurt (FWB),JP3574200006,EUR,Germany
021.F,"SFS GROUP AG NA.   SF-,10",Frankfurt (FWB),CH0239229302,EUR,Germany
024.F,MASTERMYNE GROUP LTD.,Frankfurt (FWB),AU000000MYE0,EUR,Germany
02B.F,"BLACKLINE INC.  DL-,01",Frankfurt (FWB),US09239B1098,EUR,Germany
02G.F,GUANGZHOU AUTO.GRP H YC 1,Frankfurt (FWB),CNE100000Q35,EUR,Germany
02H0.F,HEXATRONIC GROUP AB AK,Frankfurt (FWB),SE0018040677,EUR,Germany
02M.F,"MOSAIC CO. DL-,01",Frankfurt (FWB),US61945C1036,EUR,Germany
02M1.F,RAFFLES MEDICAL GRP P.C.,Frankfurt (FWB),SG1CH4000003,EUR,Germany
02P.F,PEARL GOLD AG  INH ON,Frankfurt (FWB),DE000A0AFGF3,EUR,Germany
