symbol,FullName,Exchange,ISIN,Currency,Country
01IE.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,GB0007592941,GBP,United Kingdom
01KG.L,SCOTTISH AMERICAN INVESTMENT CO,LSE,GB0007785453,GBP,United Kingdom
01LS.L,FINANSBANK,LSE,US31770N3008,GBP,United Kingdom
01NX.L,ALPHA BANK AE,LSE,US02071M6066,GBP,United Kingdom
03GW.L,FOREIGN & COL INVESTM TRUST,LSE,GB0003467049,GBP,United Kingdom
04HK.L,LONDON & ST LAWRENCE INVESTMENT,LSE,GB0005310270,GBP,United Kingdom
04IE.L,ROYAL BANK OF SCOTLAND GROUP PLC,LSE,GB0007595738,GBP,United Kingdom
05GM.L,CALGARY & EDMONTON RAILWAY CO,LSE,CA129587AA99,GBP,United Kingdom
05IS.L,MANDO MACHINERY CORP,LSE,US5626651096,GBP,United Kingdom
06GM.L,CAMBRIDGE WATER,LSE,GB0001663888,GBP,United Kingdom
06HB.L,HEMINGWAY DEBENTURE,LSE,GB0004198445,GBP,United Kingdom
09GE.L,BLD PROPERTY HLDGS,LSE,GB0000526474,GBP,United Kingdom
09HK.L,PEEL SOUTH EAST LTD,LSE,GB0005318901,GBP,United Kingdom
09IG.L,SHAFTESBURY PLC,LSE,GB0007991150,GBP,United Kingdom
10NC.L,PHOSAGRO OJSC,LSE,US71922G1004,GBP,United Kingdom
11IE.L,HSBC BANK PLC,LSE,GB00B6Y1YW03,GBP,United Kingdom
14VM.L,IG SEISMIC SERVICES PLC,LSE,US4495971032,GBP,United Kingdom
17GK.L,MEGAFON(PJSC),LSE,US58517T1007,GBP,United Kingdom
19PS.L,KCELL JSC,LSE,US48668G1067,GBP,United Kingdom
30HT.L,NATIONAL WESTMINSTER BANK,LSE,GB0006227382,GBP,United Kingdom
31PH.L,GLOBAL TELECOM HLDG SAE,LSE,US37953P1030,GBP,United Kingdom
32ID.L,RENOLD,LSE,GB0007325417,GBP,United Kingdom
32NJ.L,GREAT PORTLAND ESTATES PLC,LSE,GB0004841101,GBP,United Kingdom
33IE.L,PEEL LAND & PROPERTY INV PLC,LSE,GB0006783558,GBP,United Kingdom
33KE.L,KAZKOMMERTSBANK JSC,LSE,US48666E5096,GBP,United Kingdom
34HA.L,HALOS,LSE,GB0004047980,GBP,United Kingdom
34NF.L,PJSC ACRON,LSE,US00501T1007,GBP,United Kingdom
35GZ.L,HACO,LSE,GB00B1BPH986,GBP,United Kingdom
365.L,365 AGILE GROUP PLC,LSE AIM,GB00BYY8NN14,GBP,United Kingdom
36GK.L,VTB BANK(PJSC),LSE,US46630Q1031,GBP,United Kingdom
37HR.L,MUCKLOW(A.& J.)GROUP,LSE,GB0006091622,GBP,United Kingdom
37OC.L,OIL & GAS DEVELOPMENT CO,LSE,US67778Q1013,GBP,United Kingdom
37QB.L,HALYK SAVINGS BANK OF KAZAKHSTN JSC,LSE,US46627J2033,GBP,United Kingdom
38KH.L,GLOBALTRANS INVESTMENT PLC,LSE,US37949E1055,GBP,United Kingdom
38LF.L,SBERBANK OF RUSSIA,LSE,US80585Y4070,GBP,United Kingdom
39IB.L,LG ELECTRONICS INC,LSE,US50186Q2021,GBP,United Kingdom
39IS.L,TURKIYE GARANTI BANKASI,LSE,US9001486029,GBP,United Kingdom
3IN.L,3I INFRASTRUCTURE PLC,LSE,JE00BYR8GK67,GBP,United Kingdom
40HK.L,BAA LYNTON LTD,LSE,GB0005397640,GBP,United Kingdom
40XT.L,ROSNEFT OIL CO,LSE,US67812M1080,GBP,United Kingdom
41JB.L,COMMERCIAL INTL BANK(EGYPT)S.A.E,LSE,US2017121060,GBP,United Kingdom
42CL.L,MAGNITOGORSK IRON & STEEL WORKS,LSE,US5591891057,GBP,United Kingdom
42GD.L,VIMETCO NV,LSE,US92718P1049,GBP,United Kingdom
42IF.L,SCOTTISH INVESTMENT TRUST,LSE,GB0007826323,GBP,United Kingdom
42IH.L,SOUTH STAFFORDSHIRE WATER,LSE,GB0008267675,GBP,United Kingdom
42KM.L,HSBC BANK PLC,LSE,GB00B73ML866,GBP,United Kingdom
42KU.L,GRUPO CLARIN SA,LSE,US40052A1007,GBP,United Kingdom
42MA.L,HSBC BANK PLC,LSE,GB00B7D4CP64,GBP,United Kingdom
43IH.L,SOUTH STAFFORDSHIRE WATER,LSE,GB0008267899,GBP,United Kingdom
43KV.L,BANK AUDI S.A.L.,LSE,US0605721044,GBP,United Kingdom
44GL.L,BRUNNER INVESTMENT TRUST,LSE,GB0001490449,GBP,United Kingdom
44IF.L,SCOTTISH INVESTMENT TRUST,LSE,GB0007826547,GBP,United Kingdom
44IH.L,SOUTH STAFFORDSHIRE WATER,LSE,GB0008268640,GBP,United Kingdom
44IO.L,HENDERSON SMALLER COS INV TST,LSE,GB0009065284,GBP,United Kingdom
44JV.L,DUNEDIN INCOME GROWTH INVEST TRUST,LSE,GB0002849015,GBP,United Kingdom
45HR.L,MURRAY INTERNATIONAL TRUST,LSE,GB0006112428,GBP,United Kingdom
45IF.L,SCOTTISH INVESTMENT TRUST,LSE,GB0007826653,GBP,United Kingdom
46HA.L,INVESTEC INVESTMENT TRUST(GB),LSE,GB0004057468,GBP,United Kingdom
46IE.L,S & U,LSE,GB0007655250,GBP,United Kingdom
47HA.L,INVESTEC INVESTMENT TRUST(GB),LSE,GB0004058433,GBP,United Kingdom
47IE.L,S & U,LSE,GB0007655474,GBP,United Kingdom
47KT.L,PAINTS & CHEMICAL INDUSTRIES,LSE,US69578R1077,GBP,United Kingdom
47MC.L,BARCLAYS BANK PLC,LSE,GB00B23DM470,GBP,United Kingdom
48HO.L,MID KENT WATER,LSE,GB0005879894,GBP,United Kingdom
49BI.L,EUROPEAN ASSETS TRUST NV,LSE,NL0000288017,GBP,United Kingdom
49GP.L,CRODA INTERNATIONAL PLC,LSE,GB0002342854,GBP,United Kingdom
49HO.L,SOUTH EAST WATER,LSE,GB0005882278,GBP,United Kingdom
50AW.L,SEVERSTAL PJSC,LSE,US8181501045,GBP,United Kingdom
50BF.L,TOWN CENTRE SECURITIES,LSE,GB00B1HHKK03,GBP,United Kingdom
50GP.L,CRODA INTERNATIONAL PLC,LSE,GB0002343159,GBP,United Kingdom
50GU.L,FIRST DEBENTURE FINANCE,LSE,GB0003384228,GBP,United Kingdom
50HO.L,SOUTH EAST WATER,LSE,GB0005882492,GBP,United Kingdom
50IF.L,SCOTTISH MORTGAGE INVESTMENT TST,LSE,GB0007837650,GBP,United Kingdom
50XD.L,MAGNIT PJSC,LSE,US55953Q1031,GBP,United Kingdom
